target_id	Method	Mean_SE	SD_SE
YBR289W_mRNA	Balanced	0.0240744731881378	0.0557420671675017
YBR289W_mRNA	Unbalanced OLS	0.0274762826218172	0.0434204117703048
YBR289W_mRNA	Unbalanced JS	0.0266937862642388	0.0426341228394975
YDR073W_mRNA	Balanced	0.0156600689541312	0.0174647545385634
YDR073W_mRNA	Unbalanced OLS	0.0279849231583768	0.0298988377898011
YDR073W_mRNA	Unbalanced JS	0.0276347937845875	0.0290765375692097
YFL049W_mRNA	Balanced	0.00673906917905056	0.00694097683206544
YFL049W_mRNA	Unbalanced OLS	0.0101538388404933	0.0150759093764926
YFL049W_mRNA	Unbalanced JS	0.0101613620259043	0.0147862829481144
YGR275W_mRNA	Balanced	0.0196281663608275	0.0305015879602177
YGR275W_mRNA	Unbalanced OLS	0.0431525431981982	0.0674434264968246
YGR275W_mRNA	Unbalanced JS	0.0415284456139875	0.0667618220310101
YHL025W_mRNA	Balanced	0.0271402602746028	0.0315319955994418
YHL025W_mRNA	Unbalanced OLS	0.0816412734505198	0.121489145097272
YHL025W_mRNA	Unbalanced JS	0.0784646739365051	0.121043841715397
YJL176C_mRNA	Balanced	0.00804940756233866	0.0151469122991212
YJL176C_mRNA	Unbalanced OLS	0.0268703070683964	0.0308955449107866
YJL176C_mRNA	Unbalanced JS	0.0248207342288662	0.0292915566546087
YMR033W_mRNA	Balanced	0.0153938391486398	0.0188562903305045
YMR033W_mRNA	Unbalanced OLS	0.0420327602720665	0.0633986053949002
YMR033W_mRNA	Unbalanced JS	0.0408274814850125	0.0626386783364667
YNR023W_mRNA	Balanced	0.0108355568507653	0.0152115645071815
YNR023W_mRNA	Unbalanced OLS	0.0363203600422838	0.0642499811374812
YNR023W_mRNA	Unbalanced JS	0.0350901461619146	0.0635509178275084
YOR290C_mRNA	Balanced	0.117646124076637	0.156524817467851
YOR290C_mRNA	Unbalanced OLS	0.258580037696365	0.446957287062004
YOR290C_mRNA	Unbalanced JS	0.288715131481684	0.505860424198078
YPL016W_mRNA	Balanced	0.0370334693381547	0.0474722579030733
YPL016W_mRNA	Unbalanced OLS	0.0854589445201949	0.112554373349796
YPL016W_mRNA	Unbalanced JS	0.0821836685140775	0.111533820512112
YPL129W_mRNA	Balanced	0.00550590112388141	0.00722284196352728
YPL129W_mRNA	Unbalanced OLS	0.00926222618862346	0.0138337835875229
YPL129W_mRNA	Unbalanced JS	0.00887545923627761	0.0136959606806478
YPR034W_mRNA	Balanced	0.00915682882769943	0.0121248768684625
YPR034W_mRNA	Unbalanced OLS	0.0191282276227383	0.0246364221794713
YPR034W_mRNA	Unbalanced JS	0.0180317949556735	0.0230623972965413
